schemaname	tablename	indexname	indexdef
public	ai_actions	ai_actions_pkey	CREATE UNIQUE INDEX ai_actions_pkey ON public.ai_actions USING btree (id)
public	appointments	appointments_pkey	CREATE UNIQUE INDEX appointments_pkey ON public.appointments USING btree (id)
public	appointments	idx_appointments_clinic	CREATE INDEX idx_appointments_clinic ON public.appointments USING btree (clinic_id)
public	call_messages	call_messages_pkey	CREATE UNIQUE INDEX call_messages_pkey ON public.call_messages USING btree (id)
public	call_messages	idx_messages_clinic	CREATE INDEX idx_messages_clinic ON public.call_messages USING btree (clinic_id)
public	call_summaries	call_summaries_call_sid_key	CREATE UNIQUE INDEX call_summaries_call_sid_key ON public.call_summaries USING btree (call_sid)
public	call_summaries	call_summaries_pkey	CREATE UNIQUE INDEX call_summaries_pkey ON public.call_summaries USING btree (id)
public	call_summaries	idx_summaries_call_sid	CREATE INDEX idx_summaries_call_sid ON public.call_summaries USING btree (call_sid)
public	call_summaries	idx_summaries_created	CREATE INDEX idx_summaries_created ON public.call_summaries USING btree (created_at DESC)
public	call_summaries	idx_summaries_outcome	CREATE INDEX idx_summaries_outcome ON public.call_summaries USING btree (outcome)
public	call_summaries	idx_summaries_patient	CREATE INDEX idx_summaries_patient ON public.call_summaries USING btree (patient_name)
public	calls	calls_call_sid_key	CREATE UNIQUE INDEX calls_call_sid_key ON public.calls USING btree (call_sid)
public	calls	calls_pkey	CREATE UNIQUE INDEX calls_pkey ON public.calls USING btree (id)
public	calls	idx_calls_clinic	CREATE INDEX idx_calls_clinic ON public.calls USING btree (clinic_id)
public	clinic_settings	clinic_settings_clinic_id_key	CREATE UNIQUE INDEX clinic_settings_clinic_id_key ON public.clinic_settings USING btree (clinic_id)
public	clinic_settings	clinic_settings_pkey	CREATE UNIQUE INDEX clinic_settings_pkey ON public.clinic_settings USING btree (id)
public	clinics	clinics_pkey	CREATE UNIQUE INDEX clinics_pkey ON public.clinics USING btree (id)
public	clinics	clinics_slug_key	CREATE UNIQUE INDEX clinics_slug_key ON public.clinics USING btree (slug)
public	contacts	contacts_pkey	CREATE UNIQUE INDEX contacts_pkey ON public.contacts USING btree (id)
public	contacts	idx_contacts_clinic	CREATE INDEX idx_contacts_clinic ON public.contacts USING btree (clinic_id)
public	lead_activity	idx_lead_activity_created	CREATE INDEX idx_lead_activity_created ON public.lead_activity USING btree (created_at DESC)
public	lead_activity	idx_lead_activity_lead	CREATE INDEX idx_lead_activity_lead ON public.lead_activity USING btree (lead_id)
public	lead_activity	lead_activity_pkey	CREATE UNIQUE INDEX lead_activity_pkey ON public.lead_activity USING btree (id)
public	patients	idx_patients_clinic	CREATE INDEX idx_patients_clinic ON public.patients USING btree (clinic_name)
public	patients	idx_patients_phone	CREATE INDEX idx_patients_phone ON public.patients USING btree (phone_number)
public	patients	idx_patients_status	CREATE INDEX idx_patients_status ON public.patients USING btree (status)
public	patients	patients_pkey	CREATE UNIQUE INDEX patients_pkey ON public.patients USING btree (id)
public	profiles	profiles_pkey	CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
